@relation validation
@attribute first_person_pronoun numeric
@attribute second_person_pronoun numeric
@attribute third_person_pronoun numeric
@attribute coordinating_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons_semi_colon numeric
@attribute dash numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute modern_slan_acronym numeric
@attribute word_all_in_upper_case numeric
@attribute average_length_sentence numeric
@attribute average_length_token numeric
@attribute number_of_sentence numeric
@attribute class {0,4}

@DATA
1,2,3,0,0,0,0,0,0,0,0,6,1,3,0,2,0,28.0,3.4827586206896552,1, 0
0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,8.0,4.615384615384615,2, 0
0,0,0,0,1,0,0,0,0,0,4,5,0,1,0,1,0,28.0,2.9565217391304346,1, 0
0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,1,0,14.0,4.0,1, 0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.666666666666667,3.9411764705882355,3, 0
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,2.625,1, 0
5,0,0,1,1,0,0,0,0,0,0,8,0,2,0,1,0,28.0,4.208333333333333,1, 0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6666666666666665,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3.0,5.0,2, 0
0,0,3,0,1,0,0,0,0,0,1,3,0,1,2,0,0,19.0,3.55,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7.0,3.4285714285714284,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.5,5.2,2, 0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,10.0,5.2,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.0,3.2,1, 0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.666666666666666,4.458333333333333,3, 0
1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,14.0,4.428571428571429,1, 0
2,2,0,0,1,0,0,0,0,0,0,3,0,2,1,2,0,14.0,4.615384615384615,1, 0
0,0,1,1,2,0,0,0,0,0,1,4,0,1,0,0,0,12.0,3.909090909090909,1, 0
0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,1,0,10.0,5.8,1, 0
0,0,4,0,3,0,0,0,0,0,5,6,0,6,0,3,0,36.0,2.966666666666667,1, 0
0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,7.0,3.7142857142857144,1, 0
3,5,0,1,2,0,0,0,0,0,0,5,0,1,0,3,0,15.5,3.433333333333333,2, 0
1,2,2,2,0,0,0,0,0,0,0,5,0,3,0,6,2,31.0,3.6206896551724137,1, 0
0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,9.0,5.0,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,4.0,2, 0
0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,10.0,4.125,2, 0
2,0,2,1,0,0,0,0,0,0,0,7,0,3,0,0,0,31.0,3.3666666666666667,1, 0
1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,2,0,11.5,3.6818181818181817,2, 0
2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,11.0,3.8,2, 0
