@relation validation
@attribute first_person_pronoun numeric
@attribute second_person_pronoun numeric
@attribute third_person_pronoun numeric
@attribute coordinating_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons_semi_colon numeric
@attribute dash numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute modern_slan_acronym numeric
@attribute word_all_in_upper_case numeric
@attribute average_length_sentence numeric
@attribute average_length_token numeric
@attribute number_of_sentence numeric
@attribute class {0,4}

@DATA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.125,2, 0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.0,3.0,1, 0
1,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,10.0,3.375,1, 0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6.0,5.333333333333333,1, 0
1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,9.0,3.75,1, 0
1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,12.0,3.769230769230769,1, 0
0,1,0,1,1,0,0,0,0,0,1,4,0,1,0,1,0,19.0,4.470588235294118,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.0,4.0,1, 0
1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,10.5,4.571428571428571,2, 0
0,0,0,0,2,0,0,0,0,0,1,3,0,1,0,1,0,9.0,4.125,1, 0
0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,10.0,3.8181818181818183,1, 0
2,0,2,0,1,0,0,0,0,0,0,2,0,1,1,0,0,11.0,3.5,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6.666666666666667,6.0588235294117645,3, 0
1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,8.0,7.0,1, 0
1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,8.0,4.125,1, 0
0,0,1,0,3,0,0,0,0,0,0,1,1,1,0,1,0,12.5,4.863636363636363,2, 0
0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,8.0,4.714285714285714,2, 0
0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,9.0,3.8,1, 0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0,3.4,1, 0
1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,7.0,4.083333333333333,2, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.5,4.571428571428571,2, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,3.7142857142857144,2, 0
0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.0,4.0,1, 0
1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,14.5,3.8846153846153846,2, 0
1,0,0,0,0,0,0,0,0,0,1,4,0,2,1,1,0,15.5,3.4827586206896552,2, 0
0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5.0,3.8,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,8.5,4.933333333333334,2, 0
1,1,1,1,1,0,0,0,0,0,0,9,0,1,0,1,0,18.0,4.315789473684211,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,8.0,1, 0
2,0,0,0,3,0,0,0,0,0,1,3,0,2,0,0,0,14.0,3.9285714285714284,1, 0
1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6.0,2.5714285714285716,1, 0
0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,1,0,10.0,4.222222222222222,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,10.0,3.789473684210526,2, 0
0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,8.0,4.142857142857143,1, 0
0,0,0,1,2,0,0,0,0,0,1,4,2,2,0,1,1,21.0,3.9,1, 0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.0,5.375,2, 0
0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,2,0,13.0,4.615384615384615,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,4.0625,2, 0
1,5,1,0,1,0,0,0,0,0,0,1,0,1,2,3,0,17.0,3.0,1, 0
1,0,1,1,2,0,0,0,0,0,0,5,0,1,1,2,0,17.0,4.25,1, 0
1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9.0,4.25,1, 0
0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,1,13.0,3.3636363636363638,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,10.0,3.652173913043478,3, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6.0,6.142857142857143,1, 0
3,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,22.0,3.4285714285714284,1, 0
0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,8.0,4.954545454545454,3, 0
0,0,0,1,1,0,0,0,0,0,0,8,0,1,1,1,0,27.0,4.125,1, 0
0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7.0,5.0,1, 0
0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,9.0,4.222222222222222,2, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.5,9.0,2, 0
5,3,0,0,0,0,0,0,0,0,0,7,1,3,0,3,0,27.0,4.0,1, 0
0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,12.0,3.727272727272727,1, 0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,10.0,4.111111111111111,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5.0,4.25,1, 0
1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,9.0,4.166666666666667,3, 0
1,2,0,0,0,0,0,0,0,0,0,11,0,1,2,2,1,31.0,3.642857142857143,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,9.0,5.0,1, 0
1,0,0,1,1,0,0,0,0,0,0,3,0,2,0,0,0,13.0,3.2142857142857144,1, 0
3,0,1,1,3,1,0,0,0,0,1,5,1,5,0,3,0,29.0,4.038461538461538,1, 0
0,0,3,1,7,0,0,0,0,0,0,4,0,5,1,3,0,26.0,3.6666666666666665,1, 0
0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6.0,3.8181818181818183,2, 0
2,0,0,1,1,0,0,0,0,0,0,2,0,3,0,0,0,14.0,3.5,2, 0
1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.5,3.533333333333333,2, 0
3,0,0,1,1,0,0,0,0,0,0,3,0,3,0,3,0,10.666666666666666,3.5172413793103448,3, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3.0,6.5,1, 0
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,6.0,5.0,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,3.0,1, 0
1,0,0,1,3,0,0,0,0,0,0,1,3,3,0,1,0,20.0,4.315789473684211,1, 0
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0,6.5,1, 0
2,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,9.5,4.0625,2, 0
1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,13.0,5.153846153846154,1, 0
2,0,1,2,1,0,0,0,0,0,0,4,1,1,0,0,0,24.0,3.48,1, 0
0,0,1,1,1,0,0,0,0,0,0,2,0,2,0,1,0,20.0,4.0476190476190474,1, 0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,4.5,2, 0
0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,9.0,4.375,1, 0
