@relation validation
@attribute first_person_pronoun numeric
@attribute second_person_pronoun numeric
@attribute third_person_pronoun numeric
@attribute coordinating_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons_semi_colon numeric
@attribute dash numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute modern_slan_acronym numeric
@attribute word_all_in_upper_case numeric
@attribute average_length_sentence numeric
@attribute average_length_token numeric
@attribute number_of_sentence numeric
@attribute class {0,4}

@DATA
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.0,3.5,1, 0
1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.0,4.857142857142857,1, 0
0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,8.0,4.25,1, 0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7.0,2.5,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7.25,3.64,4, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6.5,4.583333333333333,2, 0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,6.0,3.5,1, 0
0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,13.0,4.153846153846154,1, 0
0,2,1,0,0,0,0,0,0,0,0,2,0,2,0,3,0,13.0,3.1666666666666665,1, 0
0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,7.25,4.541666666666667,4, 0
2,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,11.0,4.3,1, 0
2,2,0,0,0,0,0,0,0,0,0,5,0,4,0,2,0,34.0,3.21875,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.0,3.8,1, 0
0,0,1,0,2,0,0,0,0,0,1,4,1,0,0,1,0,14.0,3.75,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,7.5,3.642857142857143,2, 0
0,0,1,0,1,0,0,0,0,0,0,1,0,3,0,1,0,10.0,3.25,1, 0
2,2,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,8.5,3.466666666666667,2, 0
2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,13.0,3.4166666666666665,1, 0
0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,6.0,3.3636363636363638,2, 0
0,0,0,2,1,0,0,0,0,0,1,6,2,0,0,0,1,12.5,4.523809523809524,2, 0
2,0,0,2,0,0,0,0,0,0,0,6,0,1,0,3,0,23.0,4.285714285714286,1, 0
0,0,0,2,0,0,0,1,0,0,0,9,2,2,0,1,1,25.0,4.695652173913044,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.333333333333334,3.7857142857142856,3, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.0,3.857142857142857,1, 0
2,0,1,1,1,0,0,0,0,0,0,3,0,1,0,1,0,14.0,3.25,1, 0
2,4,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,14.0,4.076923076923077,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.5,4.0,4, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5,3.875,2, 0
1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,14.0,3.6,1, 0
0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,2,0,18.0,4.1875,1, 0
3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,12.0,3.909090909090909,2, 0
1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,8.0,4.666666666666667,1, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8.0,3.75,2, 0
1,0,0,0,0,1,0,0,0,0,2,5,4,1,0,0,3,25.0,4.190476190476191,1, 0
1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,11.0,4.2,1, 0
1,0,0,0,2,0,0,0,0,0,0,4,3,1,1,2,1,21.0,5.380952380952381,1, 0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.5,4.285714285714286,2, 0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9.5,4.411764705882353,2, 0
1,0,0,0,1,0,0,0,0,0,0,3,2,2,0,0,0,19.0,4.470588235294118,1, 0
1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,7.0,3.230769230769231,2, 0
0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,4.0,3.3333333333333335,1, 0
0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,0,0,16.0,6.428571428571429,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6.0,3.6666666666666665,1, 0
0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,1,0,6.0,3.5,4, 0
3,0,3,1,4,0,0,1,0,0,0,2,0,3,1,0,0,27.0,3.625,1, 0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,7.0,3.25,1, 0
0,2,1,1,2,0,0,0,0,0,0,5,3,0,0,2,0,23.0,4.695652173913044,1, 0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,4.75,1, 0
0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,13.0,4.75,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4.0,3.75,1, 0
