@relation validation
@attribute first_person_pronoun numeric
@attribute second_person_pronoun numeric
@attribute third_person_pronoun numeric
@attribute coordinating_conj numeric
@attribute past_tense_verb numeric
@attribute future_tense_verb numeric
@attribute commas numeric
@attribute colons_semi_colon numeric
@attribute dash numeric
@attribute parentheses numeric
@attribute ellipses numeric
@attribute common_noun numeric
@attribute proper_noun numeric
@attribute adverb numeric
@attribute wh_word numeric
@attribute modern_slan_acronym numeric
@attribute word_all_in_upper_case numeric
@attribute average_length_sentence numeric
@attribute average_length_token numeric
@attribute number_of_sentence numeric
@attribute class {0,4}

@DATA
1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.0,3.0,1, 0
1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,15.5,3.225806451612903,2, 0
1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.142857142857143,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,4.681818181818182,5, 0
0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,11.5,3.3181818181818183,2, 0
1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8.0,4.071428571428571,2, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,4.25,2, 0
0,4,1,1,1,0,0,0,0,0,0,3,0,2,0,2,0,12.0,4.666666666666667,2, 0
2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,10.0,3.1,1, 0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4.0,5.285714285714286,2, 0
1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,7.5,4.25,2, 0
0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4.0,4.0,1, 0
1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,11.0,5.25,2, 0
2,2,0,0,0,0,0,0,0,0,0,5,0,1,0,3,1,20.0,3.727272727272727,1, 0
1,0,0,1,0,0,0,0,0,0,0,1,0,3,1,1,0,7.0,4.416666666666667,4, 0
1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,13.0,4.083333333333333,1, 0
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,8.0,4.571428571428571,2, 0
1,1,0,0,1,0,0,0,0,0,1,5,1,2,0,1,0,23.0,5.285714285714286,1, 0
0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,7.5,4.076923076923077,2, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7.0,4.0,1, 0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8.0,3.5714285714285716,1, 0
3,0,0,1,1,0,0,0,0,0,1,4,0,1,1,0,0,13.0,3.84,2, 0
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4.0,3.4,2, 0
1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12.666666666666666,2.6666666666666665,3, 0
2,2,0,0,0,0,0,0,0,0,0,6,0,1,0,3,0,16.0,3.5714285714285716,1, 0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,11.0,1, 0
